name,city,type,parent,parent_source,phone,state,zipcode,street_address
Hilton Garden Inn Auburn/Opelika,Auburn,101 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(334) 502-3500,AL,36830,2555 Hilton Garden Drive
Hilton Garden Inn Downtown Birmingham,Birmingham,104 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(205) 322-7937,AL,35233,250 18th Street South
Home2 Suites by Hilton Birmingham Downtown,Birmingham,210 Room Extended Stay,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(205) 322-7933,AL,35233,250 18th Street South
Hampton Inn & Suites Dothan,Dothan,85 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(334) 671-7672,AL,36303,4684 Montgomery Highway
Courtyard by Marriott Dothan,Dothan,78 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(334) 671-3000,AL,36301,3040 Ross Clark Circle
Residence Inn by Marriott Dothan,Dothan,84 Room Extended Stay,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(334) 793-1030,AL,36303,186 Hospitality Lane
Hilton Garden Inn Dothan,Dothan,104 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(334) 671-7676,AL,36303,171 Hospitality Lane
Homewood Suites by Hilton Huntsville-Village of Providence,Huntsville,107 Room Extended Stay,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(256) 895-9511,AL,35806,15 Town Center Drive
Hilton Garden Inn Huntsville/Space Center,Huntsville,101 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(256) 430-1778,AL,35805,4801 Governors House Drive
Hampton Inn & Suites Huntsville/Research Park Area,Huntsville,98 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(256) 971-1850,AL,35806,7010 Governors West Drive
"Home2 Suites by Hilton Huntsville/Research Park Area, AL",Huntsville,77 Room Extended Stay,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(256) 971-1667,AL,35806,7010 Cabela Drive
Homewood Suites by Hilton Montgomery,Montgomery,91 Room Extended Stay,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(334) 272-3010,AL,36109,1800 Interstate Park Drive
Hilton Garden Inn Montgomery East,Montgomery,97 Room Hotel,LBA Hospitality,https://www.hospitalityonline.com/lba-hospitality/locations,(334) 272-2225,AL,36109,1600 Interstate Park Drive
