name,street_address,city,state,zipcode,source,num_of_children,website
MGM Resorts International- Las Vegas,,Las Vegas,NV,,https://www.hospitalityonline.com/mgm-resorts-international-las-vegas/locations,4,mgmresorts.com
Kalahari Resorts & Conventions - Corporate Office,1305 Kalahari Drive,Wisconsin Dells,WI,53965,https://www.hospitalityonline.com/kalahari-resort/locations,5,www.kalahariresorts.com
MGM Resorts International,3799 Las Vegas Boulevard South,Las Vegas,NV,89109,https://www.hospitalityonline.com/mgm-resorts-international/locations,24,www.mgmresorts.com
Marriott International,10400 Fernwood Rd.,Bethesda,MD,20817,https://www.hospitalityonline.com/marriott/locations,1684,www.marriott.com
Hilton,"7930 Jones Branch Drive, Suite 1100",McLean,VA,22102,https://www.hospitalityonline.com/hilton/locations,966,www.hilton.com
Crescent Hotels & Resorts,10306 Eaton Place,Fairfax,VA,22030,https://www.hospitalityonline.com/crescent-hotels-resorts/locations,126,www.crescenthotels.com
SH Hotels & Resorts,,New York,NY,10036,https://www.hospitalityonline.com/sh-hotels-resorts/locations,16,www.shhotelsandresorts.com
Bally's Corporation,100 Westminster St,Providence,RI,02903,https://www.hospitalityonline.com/twinriverwwholdings/locations,11,www.ballys.com
Gate Hospitality Group,200 Ponte Vedra Boulevard,Ponte Vedra Beach,FL,32082,https://www.hospitalityonline.com/gate-hospitality-group/locations,5,www.gatehospitality.com
Hyatt Hotels Corporation,150 N Riverside Plaza,Chicago,IL,60606,https://www.hospitalityonline.com/hyatt/locations,486,www.hyatt.com
Agua Caliente Casino Resort Spa,32250 Bob Hope Dr,Rancho Mirage,CA,92270,https://www.hospitalityonline.com/agua-caliente/locations,1,hotwatercasino.com
Classic Hotels & Resorts,8000 South Arizona Grand Parkway,Phoenix,AZ,85004,https://www.hospitalityonline.com/classic/locations,10,www.classichotels.com
Twenty-Nine Palms Band of Mission Indians,46-200 Harrison Place,Coachella,CA,92236,https://www.hospitalityonline.com/twenty-nine-palms-band-of-mission-indians/locations,2,www.29palmstribe.org
