name,city,state,website,num_of_children,children_properties
MGM Resorts International- Las Vegas,Las Vegas,Nevada,https://www.hospitalityonline.com/mgm-resorts-international-las-vegas/locations,4,http://mgmresorts.com
Kalahari Resorts & Conventions - Corporate Office,Wisconsin Dells,Wisconsin,https://www.hospitalityonline.com/kalahari-resort/locations,5,http://www.kalahariresorts.com
MGM Resorts International,Las Vegas,Nevada,https://www.hospitalityonline.com/mgm-resorts-international/locations,24,https://www.mgmresorts.com/en.html
Marriott International,Bethesda,Maryland,https://www.hospitalityonline.com/marriott/locations,1684,http://www.marriott.com/
Hilton,McLean,Virginia,https://www.hospitalityonline.com/hilton/locations,966,http://www.hilton.com
Crescent Hotels & Resorts,Fairfax,Virginia,https://www.hospitalityonline.com/crescent-hotels-resorts/locations,126,http://www.crescenthotels.com
SH Hotels & Resorts,New York,New York,https://www.hospitalityonline.com/sh-hotels-resorts/locations,16,https://www.shhotelsandresorts.com
Bally's Corporation,Providence,Rhode Island,https://www.hospitalityonline.com/twinriverwwholdings/locations,11,https://www.ballys.com
Gate Hospitality Group,Ponte Vedra Beach,Florida,https://www.hospitalityonline.com/gate-hospitality-group/locations,5,http://www.gatehospitality.com
Hyatt Hotels Corporation,Chicago,Illinois,https://www.hospitalityonline.com/hyatt/locations,486,http://www.hyatt.com
Agua Caliente Casino Resort Spa,Rancho Mirage,California,https://www.hospitalityonline.com/agua-caliente/locations,1,http://hotwatercasino.com
Classic Hotels & Resorts,Phoenix,Arizona,https://www.hospitalityonline.com/classic/locations,10,http://www.classichotels.com
Twenty-Nine Palms Band of Mission Indians,Coachella,California,https://www.hospitalityonline.com/twenty-nine-palms-band-of-mission-indians/locations,2,https://www.29palmstribe.org/
Schulte Hospitality Group,Louisville,Kentucky,https://www.hospitalityonline.com/schulte-hospitality-group/locations,189,http://www.schultehotels.com/#primary
Desert Diamond Casinos,Tuscon,Arizona,https://www.hospitalityonline.com/employers/278548/locations,4,https://www.ddcaz.com
Urgo Hotels & Resorts,Bethesda,Maryland,https://www.hospitalityonline.com/urgo-hotels-resorts/locations,41,https://urgohotels.com
Wurzak Hotel Group,Philadelphia,Pennsylvania,https://www.hospitalityonline.com/wurzak/locations,13,http://www.wurzakhotels.com
Wincome Hospitality,Anaheim,California,https://www.hospitalityonline.com/wincome-usa/locations,3,https://wincomehospitality.com/
